Sku,Name,Details,Wine Type,Vintage,Size,Price,Sale price,Image
4749,Arbor Mist White Merlot Cranberry Twist,A delightful bled of crisp . White Merlot wine ...,Merlot,,1.5L,8.59,6.59,http://library.bevnetwork.com/labels/770/t_82639.jpg
16819,Two Vines Merlot Cabernet,,Merlot,,750ML,8.59,6.59,http://library.bevnetwork.com/labels/515/t_254511.jpg
1710,Werewolf Merlot,Werewolf Merlot is a bouquet of aromas filled ...,Merlot,,750ML,8.59,6.59,http://www.getwineonline.com//labels/t_B01710.png
4760,Arbor Mist Chardonnay Peach,"Sweet and balanced, the juicy peach flavor ...",Chardonnay,,750ML,5.19,3.99,http://library.bevnetwork.com/bottles/770/t_4731.jpg
4768,Arbor Mist Chardonnay Tropical Fruits,The luscious combinations of Chardonnay and ripe ...,Chardonnay,,750ML,5.19,3.99,http://library.bevnetwork.com/bottles/770/t_6738.jpg
4605,Flipflop Chardonnay,"Medium-bodied, Chardonnay with pineapple, soft ...",Chardonnay,,750ML,6.49,4.99,http://library.bevnetwork.com/bottles/500/t_80391.jpg
3734,Crane Lake Chardonnay,"This wine is a light straw color, with pear, ...",Chardonnay,2013,750ML,6.49,4.99,http://library.bevnetwork.com/labels/500/t_247788.jpg
26,Casa del Toro Chardonnay,"This Chardonnay has a nice golden color, intense ...",Chardonnay,2014,750ML,6.49,4.99,http://www.getwineonline.com//labels/t_B00026.jpg
35857,Gatonegro Chardonnay,"Molina Vineyard. VII Region, Chile.(Central ...",Chardonnay,2014,750ML,6.49,4.99,http://library.bevnetwork.com/labels/565/t_209092.jpg
3876,Tisdale Chardonnay,Our winemakers shaped our Chardonnay to have ...,Chardonnay,,750ML,6.69,5.14,http://library.bevnetwork.com/labels/500/t_128083.jpg
26755,Glen Ellen Chardonnay Reserve,3 FOR $13.50 3 FOR $13.50 3 FOR $13.50 3 FOR $13....,Chardonnay,2013,750ML,6.99,5.38,http://library.bevnetwork.com/bottles/500/t_127391.jpg
29584,Rex Goliath Chardonnay,Rex Goliath Chardonnay is a true sun-kissed ...,Chardonnay,,750ML,7.79,5.99,http://library.bevnetwork.com/labels/500/t_157594.jpg
22820,Sutter Home Chardonnay,"aromas of fresh pear, peach, apple, and lemon. ...",Chardonnay,,750ML,7.99,6.17,http://library.bevnetwork.com/labels/500/t_132228.jpg
3393,Barefoot Chardonnay,Dripping with honeyed peach and Fuji apple ...,Chardonnay,,750ML,7.99,6.17,http://library.bevnetwork.com/labels/500/t_47585.jpg
24821,CK Mondavi Chardonnay Willow Springs,Our Chardonnay is medium-bodied with a hint of ...,Chardonnay,2014,750ML,7.99,6.18,http://library.bevnetwork.com/labels/500/t_83838.jpg
21970,Woodbridge By Robert Mondavi Chardonnay,"A dry, medium-bodied and juicy white wine with ...",Chardonnay,2014,750ML,7.99,6.19,http://library.bevnetwork.com/labels/500/t_241908.jpg
43612,Bleecker Chardonnay,Bleecker California Chardonnay is a simple ...,Chardonnay,,750ML,7.99,6.19,http://www.getwineonline.com//images/t_not_available.gif
4672,Simply Naked Chardonnay Unoaked,"Simply Naked Chardonnay is a rich, fruit forward ...",Chardonnay,,750ML,7.99,6.19,http://library.bevnetwork.com/labels/500/t_77897.jpg
4759,Arbor Mist Chardonnay Peach,"Sweet and balanced, the juicy peach flavor ...",Chardonnay,,1.5L,8.59,6.59,http://library.bevnetwork.com/bottles/770/t_4731.jpg
4767,Arbor Mist Chardonnay Tropical Fruits,The luscious combinations of Chardonnay and ripe ...,Chardonnay,,1.5L,8.59,6.59,http://library.bevnetwork.com/bottles/770/t_6738.jpg
4010,Liberty Creek Chardonnay,"For many, Chardonnay is the benchmark of a ...",Chardonnay,,1.5L,8.59,6.59,http://library.bevnetwork.com/labels/500/t_48530.jpg
644,The Little Penguin Chardonnay,,Chardonnay,2014,1.5L,8.59,6.59,http://library.bevnetwork.com/labels/545/t_251881.jpg
40635,Dark Horse Chard,Dark Horse Chardonnay has rich flavors of baked ...,Chardonnay,2014,750ML,8.59,6.59,http://www.getwineonline.com//images/t_not_available.gif
28,Casa del Toro Sauvignon Blanc,This wine is made out of selected grapes from our,White Sauvignon,2014,750ML,6.49,4.99,http://www.getwineonline.com//labels/t_P00028.jpg
3851,Gallo Family Vineyards Sauvignon Blanc,Our Sauvignon Blanc offers a bright balance of ...,White Sauvignon,,750ML,7.79,5.99,http://www.getwineonline.com//labels/t_P03851.JPG
43234,Two Oceans Sauvignon Blanc,"Pale straw colour; gooseberry, herbaceous, grassy,",White Sauvignon,2013,750ML,7.99,6.19,http://library.bevnetwork.com/bottles/644/t_262047.jpg
582,Anakena Sauvignon Blanc,A crisp pale gold Sauvignon Blanc with aromatic ...,White Sauvignon,2015,750ML,7.99,6.19,http://www.getwineonline.com//labels/t_P00582.jpg
4679,Casa Julia Estate Sauvignon Blanc,"Very intense and highly aromatic, think tropical ...",White Sauvignon,2014,750ML,8.29,6.39,http://www.getwineonline.com//labels/t_P04679.jpg
29507,Puerto Viejo Sauvignon Blanc Reserve,Nose: ...,White Sauvignon,2014,750ML,8.29,6.39,http://library.bevnetwork.com/labels/565/t_165820.jpg
27127,Cono Sur Bicicleta Sauvignon Blanc,"Elegant, expressive and dressed in a green-yellow",White Sauvignon,2014,750ML,8.59,6.59,http://library.bevnetwork.com/labels/565/t_251523.jpg
29468,Terra Vega Sauvignon Blanc,TERRA VEGA SAUVIGNON BLANC 2012 Our Terra Vega ...,White Sauvignon,2014,750ML,8.59,6.59,http://library.bevnetwork.com/labels/565/t_291432.jpg
3709,Yellow Tail Sauvignon Blanc,Yellow Tail Sauvignon Blanc is pale straw in ...,White Sauvignon,2012,750ML,8.89,6.79,http://library.bevnetwork.com/labels/545/t_69741.jpg
3944,Fleur du Cap Sauvignon Blanc,A flinty Sauvignon blanc with an abundance of ...,White Sauvignon,2015,750ML,8.89,6.79,http://www.getwineonline.com//labels/t_P03944.jpg
23082,Indaba Sauvignon Blanc,"Refreshing gooseberry, citrus and tropical fruit ...",White Sauvignon,2014,750ML,8.99,6.99,http://www.getwineonline.com//labels/t_P23082.jpg
26892,Beach House Sauv Blanc,Twinkling bright and pale straw with playful ...,White Sauvignon,2014,750ML,9.69,7.39,http://www.getwineonline.com//labels/t_B26892.jpg
4123,Los Vascos Sauvignon Blanc,Light yellow robe with beautiful green sparks. ...,White Sauvignon,2015,750ML,9.69,7.39,http://www.getwineonline.com//labels/t_P04123.jpg
4653,Monkey Bay Sauvignon Blanc,"Pale lemon in color, with green tints and ...",White Sauvignon,2014,750ML,9.69,7.39,http://www.getwineonline.com//labels/t_P04653.jpg
3332,Santa Rita Sauvignon Blanc 120,Crisp and refreshing. Its fruity aroma of citrus ...,White Sauvignon,2015,750ML,9.79,7.5,http://library.bevnetwork.com/labels/565/t_232710.jpg
3542,Cupcake Vineyards Sauvignon Blanc,This Sauvignon Blanc is reminiscent of a lemon ...,White Sauvignon,2014,750ML,10.19,7.79,http://www.getwineonline.com//labels/t_B03542.JPG
33441,Nederburg Lyric Foundation,Aromas of peach and apricot mingle with the ...,White Sauvignon,2013,750ML,10.19,7.79,http://library.bevnetwork.com/bottles/644/t_261901.jpg
44448,Lobster Reef Sauvignon Blanc,The Lobster Reef Sauvignon Blanc is a delicious ...,White Sauvignon,2014,750ML,10.19,7.79,http://library.bevnetwork.com/labels/632/t_257903.jpg
11159,Bogle Vineyards Sauvignon Blanc,"Vibrant on the nose with notes of lemon grass, ...",White Sauvignon,2013,750ML,10.19,7.89,http://library.bevnetwork.com/labels/500/t_27719.jpg
17769,Emiliana Sauvignon Blanc Natura,,White Sauvignon,,750ML,10.69,7.89,http://library.bevnetwork.com/bottles/565/t_98163.jpg
8821,Mancura Merlot,"An inviting deep ruby-red in colour, this wine is",Riesling,2011,750ML,7.79,5.99,http://www.getwineonline.com//images/t_not_available.gif
38518,Gallo Family Vineyards Riesling,,Riesling,,750ML,7.99,6.15,http://library.bevnetwork.com/labels/500/t_217891.jpg
3408,Barefoot Riesling,Hits all the right fruit-filled notes with ...,Riesling,2012,750ML,7.99,6.17,http://library.bevnetwork.com/labels/500/t_127766.jpg
3707,Yellow Tail Riesling,"A tightly packed, lime juice and mineral driven ...",Riesling,2013,750ML,8.89,6.79,http://library.bevnetwork.com/labels/545/t_69739.jpg
246,Fritz de Katz Riesling,This wine is produced in one of the best growing ...,Riesling,2014,750ML,8.99,6.99,http://www.getwineonline.com//labels/t_B00246.JPG
8858,M Lawrence Nyc Demi Sec Sparkling,NYC is an exciting new sparkling wine celebrating,Riesling,,750ML,8.99,6.99,http://www.getwineonline.com//labels/t_P08858.jpg
